text_a	text_b	label	type
御龙在天小还丹怎么做	御龙在天怎么上不去	0	0
东风日产轩逸怎么样？	东风日产新轩逸怎么样	1	0
穿越火线有哪些小说	穿越火线小说。	1	0
我的爸爸作文	爸爸的手作文	1	0
小米华为魅族哪个好？	酷派小米华为魅族哪个好	1	0
为什么苹果信号这么差？	为什么苹果6手机信号这么差	1	0
微信朋友圈能看到访客吗	微信朋友圈都能看到吗	0	0
魔兽世界，猎人宏	魔兽世界猎人弓	1	0
怎么查别人微信的聊天记录	微信聊天记录怎么查	1	0
列方程解应用题，	列方程解应用题。	1	0
支付宝里的钱怎么转到银行卡	支付宝的钱怎么转到银行卡	1	0
北京夜店有哪些	北京有哪些夜店	1	0
这是什么颜色啊？	这是什么颜色阿！	1	0
优酷视频为什么不能下载	优酷为什么不能下载视频了	1	0
怎么样才能做好网店！	怎么做好网店？	1	0
这是哪个明星小时候	这是哪个明星的小时候	1	0
天天飞车哪个车手刷高分多	天天飞车高分用哪个车手？	1	0
不客气的，为防止掉线，请您在3-4分钟内回复我一下就好	为防止掉线，请您在3分钟内回复我一下，谢谢您的配合。您好，在否？谢谢	1	0
我的特一营全集观看那有了吗	电视剧我的特一营全集观看哪里有	1	0
如何从网上查询个人征信	在网上如何查个人征信，要明细版的	1	0
在家赚钱有些什么方法？	在家带孩子有什么赚钱的方法	1	0
现在有什么好看的连续剧或者电影？	有什么好看的电视剧，或者电影	1	0
天龙八部问题	新天龙八部问题	0	0
这个里番是什么类型的？	是什么类型	0	0
婴儿理发器哪个牌子好	婴儿理发器哪个牌子好？	1	0
手机版的百度知道可以签到嘛？	百度知道怎么看还有多少升级啊？	0	0
怎样跟自己喜欢的人表白？	怎么和自己喜欢的人表白？	1	0
发什么成绩？	发什么成绩	1	0
几岁才可以办银行卡啊？	办银行卡要几岁才可以办？	1	0
您的是人工审核的方式吗？	只有人工审核的方式吗	0	0
怎么让刘海紧贴着额头	怎么使刘海不贴额头	0	0
无聊的时候你们都在干嘛呢？	你们无聊的时候都干嘛呢？	1	0
我爱你用韩语怎么写？	我爱你用韩语怎么说？	0	0
世界上有没有外星人	世界有没有外星人	1	0
这爱已打烊是什么意思	打烊是什么意思	0	0
硅是由什么构成的	硅由什么构成	1	0
二本中电子信息工程专业哪个学校比较好	电子信息工程专业分流哪个方向比较好	0	0
男孩子名字，哪个字好	带氵，钅字旁的男孩名字有哪些？	0	0
天天酷跑怎么刷金币和钻石	天天酷跑怎么刷金币钻石	1	0
入团申请书500字左右	入团申请书600字	0	0
从马鞍山火车站怎么到博望汽车站？	从马鞍山博望到黄池怎么走	0	0
大写的我怎么写	给的大写怎么写	0	0
戴耳机的男生头像	头像耳机男生	1	0
纪念碑谷这关怎么过？	史上最坑爹的游戏，咋过，	0	0
这个是您转账的	这应该是您查询错误账户了	0	0
平板电脑哪个品牌好呢	国产哪个牌子的平板电脑好	1	0
小和尚念经下一句是什么	小和尚念经，下一句是什么？	1	0
男票，是什么意思？	男票、女票什么意思？	1	0
怎样摆脱手机依赖症	如何摆脱手机依赖症	1	0
世界上最大的岛屿是	世界最大的岛屿？	1	0
过年手机一般会降价么？	过年手机会降价吗	1	0
您好，您是本人操作的吗	请您让本人操作	0	0
想找个情侣头像	谁帮我找个情侣头像吖	1	0
您好您的情况小二已经帮您反馈您后续关注一下您的手机和邮箱的信息.	您好.您的情况已经帮您反馈您可以后续关注一下您的手机和邮箱信息.	1	0
西游记是什么小说	西游记是什么体的小说	1	0
求！这张图片的高清大图！	求这张图片的高清大图。	1	0
吃榴莲不能吃什么	榴莲吃了不能吃什么	1	0
苹果手机铃声叫什么啊	苹果手机是什么铃声	1	0
眼皮老是跳怎么回事	左眼皮老是跳是怎么回事	1	0
灵魂是什么？	灵魂是什么？由来是什么？	1	0
请问QQ游戏的欢乐斗地主比斗地主好玩很多吗？	欢乐斗地主里面的斗牛游戏好玩吗？可以下载吗	0	0
薏米红豆水一天喝多少	红豆薏米一天喝多少	1	0
都在说大老虎什么意思	老虎油，什么意思？	0	0
天津艺术职业学院有普通类专业	天津城市职业学院电脑艺术设计专业要考专业吗？	0	0
传说中的黑洞是怎样形成的？	斑竹是怎么形成的？	0	0
什么意思？翻译一下。	翻译一下什么意思？	1	0
想给我儿子起个名字：	我想给儿子起个名字	1	0
数学几何证明题	几何数学证明题	1	0
疯狂猜成语的答案是什么？	疯狂猜成语关于嘴的成语有哪些	0	0
什么办法才能让鼻梁长高	有什么让鼻梁变高的方法	1	0
室内设计和计算机信息管理哪个专业好	计算机信息管理和电子商务哪个专业更好	0	0
暗黑魔法师崛起大理石手	暗黑魔法师：崛起缺少文件	0	0
为什么女人喜欢男人吃下面	为什么男人喜欢亲女人下面？	0	0
蓝颜红颜是什么	红颜和蓝颜分别指什么？	1	0
如何坚持马克思主义社会科学方法论的指导地位	如何理解马克思主义社会科学方法论的革命性变革	0	0
魏晨你喜欢吗	那么爱你为什么的吉他谱简单吗	0	0
璀璨人生全集在哪里可以看？	哪里有璀璨人生的全集？	1	0
这是什么动漫？叫什么？	这是什么动漫叫什么名字？	0	0
我什么时候放假？	你什么时候放假？	0	0
武林外传好看吗	谁有武林外传体验区激活码啊	0	0
wd做个假体丰胸手术多少钱？最近有人做了吗	怎样才能有效丰胸？假如做隆胸手术得多少钱？	0	0
这个头像的大图	求这个头像大图！	1	0
十全十美是什么动物？	十全十美的动物是什么	1	0
《步步惊情》什么时候上映	步步惊情什么时候上映？	1	0
什么是婚育证明怎么写	村里开一胎生育证明怎么写	0	0
和您购买这个手机号的时间，麻烦您了。	手机号的购买的时间麻烦您您提供一下	1	0
双子座与狮子座配吗	双子座和狮子座和吗	1	0
该不该请领导吃饭	怎么暗示请领导吃饭	0	0
请问这是什么字体？	请问大家这是什么字体？	1	0
为什么天会下雨了	过年了为什么反而不放假了	0	0
为什么奥比岛打不开？	为什么奥比岛打不开	1	0
梦见自己生了个男孩子。	我梦见自己生了男孩子	1	0
正确的反义词是什么？	正确的反义词是什么	1	0
珠海有什么好玩的地方	珠海有什么好玩的地方？	1	0
孕妇可以吃黄瓜吗加了醋的	孕妇能吃黄瓜吗	1	0
儿童音乐乐园雅马哈音乐中心怎么样	儿童钢琴专业课程雅马哈音乐中心怎么样	0	0
淘宝换货怎么换？	淘宝怎么换货	1	0
想学摄影应该买什么书比较好？	摄影技术去哪里学比较好。	0	0
传奇登陆器怎么下载	怎么下载传奇登陆器	1	0
男的做什么工作挣钱	做什么工作挣钱？	1	0
